11520572Madison   Brown     159305376732479Robson St, Vancouver, BC, V6B 2B7                        
11724284Emily     Miller    198286431329852Robson St, Vancouver, BC, V6B 2B7                        
12114227Emily     Davis     191271351520261University Ave, Toronto, ON, M5J 2H7                     
13226524David     Davis     117288367665811Robson St, Vancouver, BC, V6B 2B7                        
13680516Emily     Williams  131307373577354Robson St, Vancouver, BC, V6B 2B7                        
14018350Emily     Williams  125239365947145King St W, Hamilton, ON, L8P 1B1                         
14418084Sarah     Williams  144329339601602Maisonneuve West, Montreal, QC, H3G 1M8                  
14561206Joshua    Taylor    198278366411526Maisonneuve West, Montreal, QC, H3G 1M8                  
14602832Madison   Miller    149302409227371Robson St, Vancouver, BC, V6B 2B7                        
14866555Joshua    Davis     144252430641432Robson St, Vancouver, BC, V6B 2B7                        
15071056Jacob     Smith     151246391757567Robson St, Vancouver, BC, V6B 2B7                        
15382263Sarah     Miller    180314354792348Robson St, Vancouver, BC, V6B 2B7                        
15657795Jessica   Taylor    153259410255560University Ave, Toronto, ON, M5J 2H7                     
15763974Madison   Wilson    178244404635547University Ave, Toronto, ON, M5J 2H7                     
15914375David     Miller    157279388504768King St W, Hamilton, ON, L8P 1B1                         
16422476Madison   Moore     163253338819543King St W, Hamilton, ON, L8P 1B1                         
16462202David     Davis     177288412523176University Ave, Toronto, ON, M5J 2H7                     
16920545Jacob     Taylor    199309431899843King St W, Hamilton, ON, L8P 1B1                         
16920545Jacob     Taylor    199309431899843King St W, Hamilton, ON, L8P 1B1                         
17081356David     Brown     169308355224786Robson St, Vancouver, BC, V6B 2B7                        
17107369Ashley    Miller    130331351136140University Ave, Toronto, ON, M5J 2H7                     
17602360Jacob     Wilson    148299428113070University Ave, Toronto, ON, M5J 2H7                     
17760610Sarah     Jones     171229357484137University Ave, Toronto, ON, M5J 2H7                     
18083718Michael   Jones     218248392135248Maisonneuve West, Montreal, QC, H3G 1M8                  
18494357Madison   Johnson   213287380195435University Ave, Toronto, ON, M5J 2H7                     
18542351Sarah     Moore     193276413406248King St W, Hamilton, ON, L8P 1B1                         
18861669Jacob     Moore     177265359951289Maisonneuve West, Montreal, QC, H3G 1M8                  
18880460Ashley    Taylor    160258388785995Maisonneuve West, Montreal, QC, H3G 1M8                  
18915176Sarah     Williams  170317366764923Robson St, Vancouver, BC, V6B 2B7                        
19135187David     Miller    195242337540773University Ave, Toronto, ON, M5J 2H7                     
19152548Emily     Johnson   153256343931888King St W, Hamilton, ON, L8P 1B1                         
19227298David     Taylor    215311432039394King St W, Hamilton, ON, L8P 1B1                         
19263174Emily     Davis     181270363419345King St W, Hamilton, ON, L8P 1B1                         
19416558Jessica   Moore     199226403123153University Ave, Toronto, ON, M5J 2H7                     
19448769Ashley    Taylor    139281334448677University Ave, Toronto, ON, M5J 2H7                     
19543759Jessica   Williams  182242432220169King St W, Hamilton, ON, L8P 1B1                         
20037520Jessica   Smith     133258353459389King St W, Hamilton, ON, L8P 1B1                         
20927112Sarah     Wilson    171227336997761Maisonneuve West, Montreal, QC, H3G 1M8                  
21288649Sarah     Davis     165282358717728Maisonneuve West, Montreal, QC, H3G 1M8                  
21686127Emily     Johnson   199245342073328King St W, Hamilton, ON, L8P 1B1                         
