12070565John      Davis     176260350832531University Ave, Toronto, ON, M5J 2H7                     
12114227Emily     Davis     191271351520261University Ave, Toronto, ON, M5J 2H7                     
12943174David     Taylor    184307368725799Maisonneuve West, Montreal, QC, H3G 1M8                  
13815861Joshua    Wilson    165314367366646Robson St, Vancouver, BC, V6B 2B7                        
14221327Madison   Williams  150230402074944Robson St, Vancouver, BC, V6B 2B7                        
14272226Joshua    Brown     112277354185284King St W, Hamilton, ON, L8P 1B1                         
14476492David     Davis     137294366709426Robson St, Vancouver, BC, V6B 2B7                        
14566402John      Moore     214269417290834Robson St, Vancouver, BC, V6B 2B7                        
15126298Sarah     Smith     115265387439508University Ave, Toronto, ON, M5J 2H7                     
15158563Michael   Brown     211297437860669Maisonneuve West, Montreal, QC, H3G 1M8                  
15243733John      Miller    208311398176528University Ave, Toronto, ON, M5J 2H7                     
15331881Emily     Davis     198294404316111Robson St, Vancouver, BC, V6B 2B7                        
16372274Jessica   Brown     115282364745701King St W, Hamilton, ON, L8P 1B1                         
16600011David     Wilson    207312356212913Maisonneuve West, Montreal, QC, H3G 1M8                  
17227131John      Johnson   111288384043892Robson St, Vancouver, BC, V6B 2B7                        
17708913Joshua    Miller    117261334923828King St W, Hamilton, ON, L8P 1B1                         
17737087Joshua    Davis     133297351853139University Ave, Toronto, ON, M5J 2H7                     
17844132Michael   Wilson    163307353822382King St W, Hamilton, ON, L8P 1B1                         
17844132Michael   Wilson    163307353822382King St W, Hamilton, ON, L8P 1B1                         
17970219John      Wilson    165254359905488Robson St, Vancouver, BC, V6B 2B7                        
18658037Emily     Johnson   179246362510067King St W, Hamilton, ON, L8P 1B1                         
18955194Sarah     Smith     196255336602112Maisonneuve West, Montreal, QC, H3G 1M8                  
19098581David     Smith     219294333572299Maisonneuve West, Montreal, QC, H3G 1M8                  
19314660Jessica   Davis     111242376010409King St W, Hamilton, ON, L8P 1B1                         
19643521Ashley    Moore     188275333866108King St W, Hamilton, ON, L8P 1B1                         
19736635Michael   Johnson   144307386423016King St W, Hamilton, ON, L8P 1B1                         
19958002Sarah     Williams  136314416833877Robson St, Vancouver, BC, V6B 2B7                        
20196119Madison   Brown     152309349037171King St W, Hamilton, ON, L8P 1B1                         
20927112Sarah     Wilson    171227336997761Maisonneuve West, Montreal, QC, H3G 1M8                  
20941060Jessica   Miller    114300400491080Maisonneuve West, Montreal, QC, H3G 1M8                  
21056886Emily     Johnson   201271370761350King St W, Hamilton, ON, L8P 1B1                         
21244431Michael   Johnson   150302395024964University Ave, Toronto, ON, M5J 2H7                     
21291787Sarah     Davis     190283339058305University Ave, Toronto, ON, M5J 2H7                     
21334876John      Wilson    153245433154658Robson St, Vancouver, BC, V6B 2B7                        
21650972Jessica   Johnson   138278410796318King St W, Hamilton, ON, L8P 1B1                         
21679913Emily     Williams  112300379010097Maisonneuve West, Montreal, QC, H3G 1M8                  
21686127Emily     Johnson   199245342073328King St W, Hamilton, ON, L8P 1B1                         
21971807Jessica   Williams  156269364548915Maisonneuve West, Montreal, QC, H3G 1M8                  
21989235Jessica   Smith     135306416847037Robson St, Vancouver, BC, V6B 2B7                        
22094308Emily     Wilson    174238404900700Robson St, Vancouver, BC, V6B 2B7                        
