12124930Michael   Taylor    142262340040302University Ave, Toronto, ON, M5J 2H7                     
12167207Michael   Davis     211299420325335King St W, Hamilton, ON, L8P 1B1                         
12705943Jacob     Moore     180295411266864King St W, Hamilton, ON, L8P 1B1                         
12963733Jessica   Williams  190304437321121University Ave, Toronto, ON, M5J 2H7                     
13315617David     Wilson    187321415663808Maisonneuve West, Montreal, QC, H3G 1M8                  
13808842David     Smith     115250390472115King St W, Hamilton, ON, L8P 1B1                         
14055174Jacob     Brown     152276387113037Robson St, Vancouver, BC, V6B 2B7                        
15126298Sarah     Smith     115265387439508University Ave, Toronto, ON, M5J 2H7                     
15170151Madison   Miller    164242371664831University Ave, Toronto, ON, M5J 2H7                     
15795837Joshua    Taylor    130273412119559King St W, Hamilton, ON, L8P 1B1                         
16651415Madison   Johnson   122328396651824University Ave, Toronto, ON, M5J 2H7                     
16760601Michael   Davis     165262438994333Maisonneuve West, Montreal, QC, H3G 1M8                  
16929169Jessica   Smith     172296359874703Maisonneuve West, Montreal, QC, H3G 1M8                  
17145360Jessica   Davis     142241375979623Robson St, Vancouver, BC, V6B 2B7                        
17200229Madison   Miller    202328379076689University Ave, Toronto, ON, M5J 2H7                     
17262429John      Davis     220316389740547Maisonneuve West, Montreal, QC, H3G 1M8                  
17970219John      Wilson    165254359905488Robson St, Vancouver, BC, V6B 2B7                        
18134531John      Taylor    120323399137586King St W, Hamilton, ON, L8P 1B1                         
18198067Madison   Moore     150272441247805University Ave, Toronto, ON, M5J 2H7                     
18285427Emily     Miller    169267426972353University Ave, Toronto, ON, M5J 2H7                     
18777714John      Miller    166260434588282King St W, Hamilton, ON, L8P 1B1                         
19001777John      Smith     152304430166097Robson St, Vancouver, BC, V6B 2B7                        
19099839Joshua    Johnson   171307402153527Maisonneuve West, Montreal, QC, H3G 1M8                  
19689955David     Williams  127298390755166King St W, Hamilton, ON, L8P 1B1                         
19724839Sarah     Taylor    205241436004339King St W, Hamilton, ON, L8P 1B1                         
19923742David     Moore     165301429669760University Ave, Toronto, ON, M5J 2H7                     
20464177Joshua    Davis     126279432238604Maisonneuve West, Montreal, QC, H3G 1M8                  
20512807John      Taylor    165319432427301University Ave, Toronto, ON, M5J 2H7                     
20629897Jessica   Wilson    134258384043430Robson St, Vancouver, BC, V6B 2B7                        
20713009David     Miller    147233400785621Robson St, Vancouver, BC, V6B 2B7                        
20919290John      Miller    124259430444551King St W, Hamilton, ON, L8P 1B1                         
20998901Jacob     Taylor    131234423616682University Ave, Toronto, ON, M5J 2H7                     
21057427John      Moore     185308412369345University Ave, Toronto, ON, M5J 2H7                     
21091396Emily     Williams  191296339521112University Ave, Toronto, ON, M5J 2H7                     
21364967Madison   Miller    220293335249778Robson St, Vancouver, BC, V6B 2B7                        
21572298Emily     Miller    196260398031465University Ave, Toronto, ON, M5J 2H7                     
21606970Jacob     Davis     173268419149160University Ave, Toronto, ON, M5J 2H7                     
21738002Jessica   Smith     171286369072778University Ave, Toronto, ON, M5J 2H7                     
22022005Michael   Smith     123283352705993University Ave, Toronto, ON, M5J 2H7                     
22022172Madison   Davis     156329425759437Robson St, Vancouver, BC, V6B 2B7                        
