11145327David     Jones     131292343625646Robson St, Vancouver, BC, V6B 2B7                        
11426882David     Wilson    220278378340336King St W, Hamilton, ON, L8P 1B1                         
11883916Michael   Taylor    168296350383022King St W, Hamilton, ON, L8P 1B1                         
12414301Sarah     Miller    214223425599724Robson St, Vancouver, BC, V6B 2B7                        
12550803Jessica   Wilson    129332392847816University Ave, Toronto, ON, M5J 2H7                     
12555130Emily     Johnson   215294372903972King St W, Hamilton, ON, L8P 1B1                         
12943174David     Taylor    184307368725799Maisonneuve West, Montreal, QC, H3G 1M8                  
13106090John      Jones     173243419853040Robson St, Vancouver, BC, V6B 2B7                        
13205809Michael   Moore     213281389330919University Ave, Toronto, ON, M5J 2H7                     
13529316David     Moore     189282417073555University Ave, Toronto, ON, M5J 2H7                     
14071278Emily     Miller    147249388302503University Ave, Toronto, ON, M5J 2H7                     
14349274Ashley    Moore     193323425879358Robson St, Vancouver, BC, V6B 2B7                        
14602832Madison   Miller    149302409227371Robson St, Vancouver, BC, V6B 2B7                        
14677547Jacob     Williams  164273430219674Maisonneuve West, Montreal, QC, H3G 1M8                  
15071056Jacob     Smith     151246391757567Robson St, Vancouver, BC, V6B 2B7                        
15657795Jessica   Taylor    153259410255560University Ave, Toronto, ON, M5J 2H7                     
16183267Sarah     Wilson    118321358937345King St W, Hamilton, ON, L8P 1B1                         
16783702Jessica   Miller    169261395295242Maisonneuve West, Montreal, QC, H3G 1M8                  
16879278Jessica   Brown     168230409740608University Ave, Toronto, ON, M5J 2H7                     
16895598Madison   Johnson   193234385381286Maisonneuve West, Montreal, QC, H3G 1M8                  
17010124Michael   Taylor    130299409747288King St W, Hamilton, ON, L8P 1B1                         
17086245Michael   Johnson   137315402508549King St W, Hamilton, ON, L8P 1B1                         
17107369Ashley    Miller    130331351136140University Ave, Toronto, ON, M5J 2H7                     
17250725Ashley    Johnson   186253373120452University Ave, Toronto, ON, M5J 2H7                     
17602360Jacob     Wilson    148299428113070University Ave, Toronto, ON, M5J 2H7                     
17853840Emily     Moore     157293430385992King St W, Hamilton, ON, L8P 1B1                         
18390036Joshua    Williams  207247386203975Maisonneuve West, Montreal, QC, H3G 1M8                  
18542351Sarah     Moore     193276413406248King St W, Hamilton, ON, L8P 1B1                         
18843013Joshua    Davis     154291429993096University Ave, Toronto, ON, M5J 2H7                     
18900943Joshua    Miller    207311420888276King St W, Hamilton, ON, L8P 1B1                         
18907605David     Wilson    192237388693327Robson St, Vancouver, BC, V6B 2B7                        
19035131David     Miller    138304407886311University Ave, Toronto, ON, M5J 2H7                     
19098581David     Smith     219294333572299Maisonneuve West, Montreal, QC, H3G 1M8                  
19671039John      Taylor    179233382860501Robson St, Vancouver, BC, V6B 2B7                        
20896405Emily     Brown     159262356686158Robson St, Vancouver, BC, V6B 2B7                        
20918107David     Moore     111330392745984University Ave, Toronto, ON, M5J 2H7                     
21364967Madison   Miller    220293335249778Robson St, Vancouver, BC, V6B 2B7                        
21584017Sarah     Johnson   200282412563666Maisonneuve West, Montreal, QC, H3G 1M8                  
21827127John      Brown     207320414788769Robson St, Vancouver, BC, V6B 2B7                        
21971807Jessica   Williams  156269364548915Maisonneuve West, Montreal, QC, H3G 1M8                  
