11716955David     Miller    135279428140746Robson St, Vancouver, BC, V6B 2B7                        
12120096Madison   Williams  196247361922544Robson St, Vancouver, BC, V6B 2B7                        
12124930Michael   Taylor    142262340040302University Ave, Toronto, ON, M5J 2H7                     
12810617David     Jones     154289390106445King St W, Hamilton, ON, L8P 1B1                         
13024053Jacob     Miller    130277401836137University Ave, Toronto, ON, M5J 2H7                     
13256831Joshua    Wilson    169261336201050King St W, Hamilton, ON, L8P 1B1                         
13643835Emily     Johnson   132309409886761Maisonneuve West, Montreal, QC, H3G 1M8                  
13978228Michael   Smith     183279358389538Maisonneuve West, Montreal, QC, H3G 1M8                  
14206528Emily     Williams  210285362458157Robson St, Vancouver, BC, V6B 2B7                        
14590230John      Taylor    179228389715549Robson St, Vancouver, BC, V6B 2B7                        
14756591Madison   Taylor    117288350120240University Ave, Toronto, ON, M5J 2H7                     
15261355Ashley    Jones     152231388789354King St W, Hamilton, ON, L8P 1B1                         
15302070Jessica   Davis     203250412368474Robson St, Vancouver, BC, V6B 2B7                        
15543672David     Moore     114280359648410Maisonneuve West, Montreal, QC, H3G 1M8                  
15675494David     Miller    200281402714709Robson St, Vancouver, BC, V6B 2B7                        
15795837Joshua    Taylor    130273412119559King St W, Hamilton, ON, L8P 1B1                         
15899304Ashley    Smith     147261418295376Robson St, Vancouver, BC, V6B 2B7                        
16316245Emily     Moore     221292363863726Maisonneuve West, Montreal, QC, H3G 1M8                  
16549658Michael   Taylor    113310396637048Robson St, Vancouver, BC, V6B 2B7                        
16885454Jacob     Moore     159229342142589King St W, Hamilton, ON, L8P 1B1                         
16926163Joshua    Smith     171270436073107University Ave, Toronto, ON, M5J 2H7                     
17068851Joshua    Moore     206320378378745University Ave, Toronto, ON, M5J 2H7                     
17422234Emily     Williams  181297361603782Maisonneuve West, Montreal, QC, H3G 1M8                  
17847434Sarah     Brown     174236359671243University Ave, Toronto, ON, M5J 2H7                     
18413200Jessica   Wilson    165258398570822King St W, Hamilton, ON, L8P 1B1                         
18942209David     Davis     209223340971487King St W, Hamilton, ON, L8P 1B1                         
18945769Emily     Moore     195329334766705University Ave, Toronto, ON, M5J 2H7                     
19121134Ashley    Brown     181264367158978Maisonneuve West, Montreal, QC, H3G 1M8                  
19121134Ashley    Brown     181264367158978Maisonneuve West, Montreal, QC, H3G 1M8                  
19287269David     Moore     210259389994741University Ave, Toronto, ON, M5J 2H7                     
19549197Jessica   Brown     171321347580067University Ave, Toronto, ON, M5J 2H7                     
19981637Jessica   Moore     150261418116358University Ave, Toronto, ON, M5J 2H7                     
20207133Madison   Davis     176298374098708Robson St, Vancouver, BC, V6B 2B7                        
20390253Sarah     Brown     173224368187382University Ave, Toronto, ON, M5J 2H7                     
20919290John      Miller    124259430444551King St W, Hamilton, ON, L8P 1B1                         
20930711Madison   Williams  157318339667624Robson St, Vancouver, BC, V6B 2B7                        
20998901Jacob     Taylor    131234423616682University Ave, Toronto, ON, M5J 2H7                     
20998901Jacob     Taylor    131234423616682University Ave, Toronto, ON, M5J 2H7                     
21079344Ashley    Jones     155269424414379Robson St, Vancouver, BC, V6B 2B7                        
21487666Ashley    Davis     176313341996520King St W, Hamilton, ON, L8P 1B1                         
