11716955David     Miller    135279428140746Robson St, Vancouver, BC, V6B 2B7                        
11847743Madison   Jones     182247428350278King St W, Hamilton, ON, L8P 1B1                         
11883916Michael   Taylor    168296350383022King St W, Hamilton, ON, L8P 1B1                         
12051955David     Davis     166242432179025Robson St, Vancouver, BC, V6B 2B7                        
12357130David     Taylor    218297393667431University Ave, Toronto, ON, M5J 2H7                     
12818706Emily     Moore     211328384427012King St W, Hamilton, ON, L8P 1B1                         
12972563John      Jones     151325365206834Robson St, Vancouver, BC, V6B 2B7                        
13254233Jessica   Brown     182260380585745University Ave, Toronto, ON, M5J 2H7                     
13270338Ashley    Smith     200280409234106Robson St, Vancouver, BC, V6B 2B7                        
14197602Ashley    Smith     200266413271048King St W, Hamilton, ON, L8P 1B1                         
14476492David     Davis     137294366709426Robson St, Vancouver, BC, V6B 2B7                        
14476492David     Davis     137294366709426Robson St, Vancouver, BC, V6B 2B7                        
14862600Emily     Moore     182230411487442Robson St, Vancouver, BC, V6B 2B7                        
15126298Sarah     Smith     115265387439508University Ave, Toronto, ON, M5J 2H7                     
15139464Emily     Brown     220269396772690King St W, Hamilton, ON, L8P 1B1                         
15169178Jacob     Brown     161328336261356King St W, Hamilton, ON, L8P 1B1                         
15243644Madison   Wilson    137320378202223Maisonneuve West, Montreal, QC, H3G 1M8                  
15258928Jessica   Brown     204322415362603University Ave, Toronto, ON, M5J 2H7                     
15492203David     Williams  130300437672541King St W, Hamilton, ON, L8P 1B1                         
16310868Jacob     Davis     185243380395477Maisonneuve West, Montreal, QC, H3G 1M8                  
16518290Jessica   Smith     190324422920936Maisonneuve West, Montreal, QC, H3G 1M8                  
16803558John      Taylor    154295361999763Maisonneuve West, Montreal, QC, H3G 1M8                  
17198330Jacob     Taylor    147300429641032University Ave, Toronto, ON, M5J 2H7                     
18126200Madison   Taylor    206241353405771Robson St, Vancouver, BC, V6B 2B7                        
18388898Sarah     Davis     119268343563200King St W, Hamilton, ON, L8P 1B1                         
18413200Jessica   Wilson    165258398570822King St W, Hamilton, ON, L8P 1B1                         
18977580Michael   Taylor    120308413502639Maisonneuve West, Montreal, QC, H3G 1M8                  
19212352David     Moore     192237386675626Robson St, Vancouver, BC, V6B 2B7                        
19820773Jacob     Johnson   158252407342481University Ave, Toronto, ON, M5J 2H7                     
19981637Jessica   Moore     150261418116358University Ave, Toronto, ON, M5J 2H7                     
20068642Jessica   Smith     126311437395632University Ave, Toronto, ON, M5J 2H7                     
20068642Jessica   Smith     126311437395632University Ave, Toronto, ON, M5J 2H7                     
20390253Sarah     Brown     173224368187382University Ave, Toronto, ON, M5J 2H7                     
20463997Jessica   Taylor    209270386115779Robson St, Vancouver, BC, V6B 2B7                        
20504182Jacob     Wilson    170251360327768King St W, Hamilton, ON, L8P 1B1                         
20638785Jessica   Davis     179301418072150King St W, Hamilton, ON, L8P 1B1                         
20830397Jacob     Johnson   210291333820121University Ave, Toronto, ON, M5J 2H7                     
21020880Michael   Jones     177253393263100Robson St, Vancouver, BC, V6B 2B7                        
21506445John      Miller    149259407795274King St W, Hamilton, ON, L8P 1B1                         
22067123Jacob     Taylor    115327346542786King St W, Hamilton, ON, L8P 1B1                         
