12180879David     Johnson   174248406209133Robson St, Vancouver, BC, V6B 2B7                        
12712145Sarah     Miller    150284337306153Robson St, Vancouver, BC, V6B 2B7                        
13133141David     Jones     199264422245572University Ave, Toronto, ON, M5J 2H7                     
13256831Joshua    Wilson    169261336201050King St W, Hamilton, ON, L8P 1B1                         
13270338Ashley    Smith     200280409234106Robson St, Vancouver, BC, V6B 2B7                        
13419170Madison   Wilson    188258365572775Maisonneuve West, Montreal, QC, H3G 1M8                  
13501227Madison   Miller    148241441609397King St W, Hamilton, ON, L8P 1B1                         
13529316David     Moore     189282417073555University Ave, Toronto, ON, M5J 2H7                     
13546693Jacob     Jones     146234418985731Maisonneuve West, Montreal, QC, H3G 1M8                  
13589661Sarah     Taylor    208320376273393Maisonneuve West, Montreal, QC, H3G 1M8                  
13659847Madison   Miller    126241335949307King St W, Hamilton, ON, L8P 1B1                         
13937431Ashley    Davis     212239369338709Maisonneuve West, Montreal, QC, H3G 1M8                  
14206591Jessica   Brown     133267400528243Robson St, Vancouver, BC, V6B 2B7                        
14317383Joshua    Taylor    159234380431581King St W, Hamilton, ON, L8P 1B1                         
14372028Michael   Jones     193284408773571Robson St, Vancouver, BC, V6B 2B7                        
14590230John      Taylor    179228389715549Robson St, Vancouver, BC, V6B 2B7                        
15031974Emily     Wilson    178234401591969Robson St, Vancouver, BC, V6B 2B7                        
15330239Emily     Davis     216297412976437Maisonneuve West, Montreal, QC, H3G 1M8                  
15419536John      Smith     112245388906208University Ave, Toronto, ON, M5J 2H7                     
15676827David     Brown     206252441341510Maisonneuve West, Montreal, QC, H3G 1M8                  
15850391Joshua    Johnson   188255432647512University Ave, Toronto, ON, M5J 2H7                     
16290244Emily     Wilson    185322382391850Maisonneuve West, Montreal, QC, H3G 1M8                  
16448270David     Taylor    159309339625422Robson St, Vancouver, BC, V6B 2B7                        
17010124Michael   Taylor    130299409747288King St W, Hamilton, ON, L8P 1B1                         
17200229Madison   Miller    202328379076689University Ave, Toronto, ON, M5J 2H7                     
17723749Michael   Moore     196299352904285Robson St, Vancouver, BC, V6B 2B7                        
17844132Michael   Wilson    163307353822382King St W, Hamilton, ON, L8P 1B1                         
18382895John      Moore     129313405077163King St W, Hamilton, ON, L8P 1B1                         
18768393Michael   Jones     216309373606885Maisonneuve West, Montreal, QC, H3G 1M8                  
18861669Jacob     Moore     177265359951289Maisonneuve West, Montreal, QC, H3G 1M8                  
18900943Joshua    Miller    207311420888276King St W, Hamilton, ON, L8P 1B1                         
19152548Emily     Johnson   153256343931888King St W, Hamilton, ON, L8P 1B1                         
20083177Emily     Williams  145298360716313Maisonneuve West, Montreal, QC, H3G 1M8                  
20609124Ashley    Williams  171330391272759University Ave, Toronto, ON, M5J 2H7                     
20937103Madison   Taylor    178332442446819King St W, Hamilton, ON, L8P 1B1                         
21073131Jacob     Taylor    219305354803328Maisonneuve West, Montreal, QC, H3G 1M8                  
21288649Sarah     Davis     165282358717728Maisonneuve West, Montreal, QC, H3G 1M8                  
21697007David     Williams  141294423515881Maisonneuve West, Montreal, QC, H3G 1M8                  
21698041Ashley    Davis     182242354907286University Ave, Toronto, ON, M5J 2H7                     
22051180Emily     Johnson   174312403605289Robson St, Vancouver, BC, V6B 2B7                        
