12114227Emily     Davis     191271351520261University Ave, Toronto, ON, M5J 2H7                     
12153559Ashley    Brown     149238423282774Maisonneuve West, Montreal, QC, H3G 1M8                  
12311532Emily     Williams  200266340142916Maisonneuve West, Montreal, QC, H3G 1M8                  
12338871David     Williams  182283430629309King St W, Hamilton, ON, L8P 1B1                         
12650188Jessica   Davis     142325422538914Maisonneuve West, Montreal, QC, H3G 1M8                  
12682280John      Williams  176245376567815Maisonneuve West, Montreal, QC, H3G 1M8                  
12752647Michael   Moore     196298420243447Maisonneuve West, Montreal, QC, H3G 1M8                  
13151512John      Johnson   142264370339253King St W, Hamilton, ON, L8P 1B1                         
13154377Emily     Taylor    181234372180287King St W, Hamilton, ON, L8P 1B1                         
13246494Ashley    Smith     175235351706561King St W, Hamilton, ON, L8P 1B1                         
13529316David     Moore     189282417073555University Ave, Toronto, ON, M5J 2H7                     
13686811Ashley    Miller    179318383912064Robson St, Vancouver, BC, V6B 2B7                        
14069981Madison   Davis     158317410894830King St W, Hamilton, ON, L8P 1B1                         
14492430Jacob     Taylor    139243371576861King St W, Hamilton, ON, L8P 1B1                         
14561206Joshua    Taylor    198278366411526Maisonneuve West, Montreal, QC, H3G 1M8                  
15170151Madison   Miller    164242371664831University Ave, Toronto, ON, M5J 2H7                     
15476559Emily     Wilson    208283435229642King St W, Hamilton, ON, L8P 1B1                         
15658377Jacob     Wilson    134226432797289King St W, Hamilton, ON, L8P 1B1                         
16452720Ashley    Jones     113271380582021Maisonneuve West, Montreal, QC, H3G 1M8                  
16609929David     Wilson    187273436950660University Ave, Toronto, ON, M5J 2H7                     
16760044Emily     Wilson    156302386275164University Ave, Toronto, ON, M5J 2H7                     
17602360Jacob     Wilson    148299428113070University Ave, Toronto, ON, M5J 2H7                     
17848142David     Moore     117325402969959Robson St, Vancouver, BC, V6B 2B7                        
17853840Emily     Moore     157293430385992King St W, Hamilton, ON, L8P 1B1                         
17925214John      Taylor    187277362681493Robson St, Vancouver, BC, V6B 2B7                        
18079408John      Taylor    212228378521993Robson St, Vancouver, BC, V6B 2B7                        
18198067Madison   Moore     150272441247805University Ave, Toronto, ON, M5J 2H7                     
18413200Jessica   Wilson    165258398570822King St W, Hamilton, ON, L8P 1B1                         
18427615Sarah     Wilson    139323354364685Maisonneuve West, Montreal, QC, H3G 1M8                  
19430982Emily     Taylor    150286349606577University Ave, Toronto, ON, M5J 2H7                     
19653997David     Davis     120303403701556Maisonneuve West, Montreal, QC, H3G 1M8                  
19727269Jacob     Brown     170288374052421King St W, Hamilton, ON, L8P 1B1                         
20292695David     Miller    191262412949601Maisonneuve West, Montreal, QC, H3G 1M8                  
20578794David     Smith     150236400987238Robson St, Vancouver, BC, V6B 2B7                        
20638785Jessica   Davis     179301418072150King St W, Hamilton, ON, L8P 1B1                         
20918107David     Moore     111330392745984University Ave, Toronto, ON, M5J 2H7                     
20918107David     Moore     111330392745984University Ave, Toronto, ON, M5J 2H7                     
21160445Madison   Wilson    117310353158394Robson St, Vancouver, BC, V6B 2B7                        
21343906Ashley    Moore     177240350064180University Ave, Toronto, ON, M5J 2H7                     
21638647Joshua    Miller    151295335779450Maisonneuve West, Montreal, QC, H3G 1M8                  
